scene_index,filename,valid_pixels,ground_truth_burn_pixels,predicted_burn_pixels,threshold,true_positive,false_positive,false_negative,true_negative,output_path
193,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T15RXQ.2020106.v1.4_merged.tif,0,0,0,0.4,0,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_193_failure_panel.png
198,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T15SWR.2021128.v1.4_merged.tif,0,0,0,0.4,0,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_198_failure_panel.png
203,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T15SYR.2021110.v1.4_merged.tif,0,0,0,0.4,0,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_203_failure_panel.png
211,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16REV.2019135.v1.4_merged.tif,0,0,0,0.4,0,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_211_failure_panel.png
223,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SBD.2020096.v1.4_merged.tif,0,0,0,0.4,0,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_223_failure_panel.png
224,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SCF.2019111.v1.4_merged.tif,0,0,0,0.4,0,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_224_failure_panel.png
234,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SEC.2020105.v1.4_merged.tif,0,0,0,0.4,0,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_234_failure_panel.png
236,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SFB.2019100.v1.4_merged.tif,0,0,0,0.4,0,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_236_failure_panel.png
260,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T17SNU.2018129.v1.4_merged.tif,0,0,0,0.4,0,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_260_failure_panel.png
261,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T17SPS.2019009.v1.4_merged.tif,0,0,0,0.4,0,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_261_failure_panel.png
248,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T17RMJ.2021313.v1.4_merged.tif,2,2,2,0.4,2,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_248_failure_panel.png
252,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T17SKU.2018107.v1.4_merged.tif,77,77,77,0.4,77,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_252_failure_panel.png
222,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RGU.2021066.v1.4_merged.tif,628,628,628,0.4,628,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_222_failure_panel.png
45,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T11SMS.2020029.v1.4_merged.tif,350,350,350,0.4,350,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_045_failure_panel.png
254,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T17SLT.2019112.v1.4_merged.tif,305,305,305,0.4,305,0,0,0,C:\Users\user\Desktop\Satq_Prithvi\results\evidence\failure_analysis_threshold_040\scene_254_failure_panel.png
