scene_index,filename,threshold,valid_pixels,burn_pixels,predicted_burn_pixels,true_positive,false_positive,false_negative,true_negative,burn_iou,burn_precision,burn_recall,burn_f1,pixel_accuracy,ground_truth_burn_fraction,predicted_burn_fraction,burn_fraction_difference
193,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T15RXQ.2020106.v1.4_merged.tif,0.4,262144,3874,0,0,0,3874,258270,0.0,0.0,0.0,0.0,0.9852218627929688,0.0147781372070312,0.0,-0.0147781372070312
198,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T15SWR.2021128.v1.4_merged.tif,0.4,262144,11873,0,0,0,11873,250271,0.0,0.0,0.0,0.0,0.9547080993652344,0.0452919006347656,0.0,-0.0452919006347656
203,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T15SYR.2021110.v1.4_merged.tif,0.4,262144,13615,0,0,0,13615,248529,0.0,0.0,0.0,0.0,0.9480628967285156,0.0519371032714843,0.0,-0.0519371032714843
211,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16REV.2019135.v1.4_merged.tif,0.4,262129,3086,2083,0,2083,3086,256960,0.0,0.0,0.0,0.0,0.9802807014866726,0.011772829408421,0.0079464691049063,-0.0038263603035146
223,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SBD.2020096.v1.4_merged.tif,0.4,262144,3769,0,0,0,3769,258375,0.0,0.0,0.0,0.0,0.9856224060058594,0.0143775939941406,0.0,-0.0143775939941406
224,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SCF.2019111.v1.4_merged.tif,0.4,262132,10252,0,0,0,10252,251880,0.0,0.0,0.0,0.0,0.9608899333160392,0.0391100666839607,0.0,-0.0391100666839607
234,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SEC.2020105.v1.4_merged.tif,0.4,262144,5888,0,0,0,5888,256256,0.0,0.0,0.0,0.0,0.9775390625,0.0224609375,0.0,-0.0224609375
236,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SFB.2019100.v1.4_merged.tif,0.4,262073,3340,404,0,404,3340,258329,0.0,0.0,0.0,0.0,0.9857139041412124,0.0127445406432558,0.0015415552155315,-0.0112029854277243
260,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T17SNU.2018129.v1.4_merged.tif,0.4,262142,3219,122,0,122,3219,258801,0.0,0.0,0.0,0.0,0.9872549991989076,0.0122796041839918,0.0004653966171006,-0.0118142075668912
261,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T17SPS.2019009.v1.4_merged.tif,0.4,262142,3598,90,0,90,3598,258454,0.0,0.0,0.0,0.0,0.9859312891486294,0.0137253854780996,0.0003433253732709,-0.0133820601048286
248,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T17RMJ.2021313.v1.4_merged.tif,0.4,262111,20458,223,2,221,20456,241432,9.671647565162726e-05,0.0089686098654708,9.776126698602014e-05,0.0001934142449591,0.921113574020167,0.0780509020987291,0.0008507845912609,-0.0772001175074682
252,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T17SKU.2018107.v1.4_merged.tif,0.4,262141,6103,77,77,0,6026,256038,0.0126167458626904,1.0,0.0126167458626904,0.0249190938511326,0.9770123712048095,0.0232813638461743,0.000293735050984,-0.0229876287951903
222,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RGU.2021066.v1.4_merged.tif,0.4,262144,35565,628,628,0,34937,226579,0.0176578096443132,1.0,0.0176578096443132,0.0347028430912054,0.8667259216308594,0.1356697082519531,0.0023956298828125,-0.1332740783691406
45,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T11SMS.2020029.v1.4_merged.tif,0.4,261762,19803,3052,350,2702,19453,239257,0.015552099533437,0.1146788990825688,0.0176740897843761,0.0306278713629402,0.9153620464391318,0.0756526921401884,0.0116594463673107,-0.0639932457728776
254,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T17SLT.2019112.v1.4_merged.tif,0.4,262144,16956,305,305,0,16651,245188,0.0179877329558858,1.0,0.0179877329558858,0.0353397833265743,0.936481475830078,0.0646820068359375,0.0011634826660156,-0.0635185241699218
