scene_index,filename,threshold,valid_pixels,burn_pixels,predicted_burn_pixels,true_positive,false_positive,false_negative,true_negative,burn_iou,burn_precision,burn_recall,burn_f1,pixel_accuracy,ground_truth_burn_fraction,predicted_burn_fraction,burn_fraction_difference
0,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T10SEH.2018190.v1.4_merged.tif,0.4,262144,207373,203710,203309,401,4064,54370,0.9785103044654287,0.9980315153895243,0.9804024631943407,0.9891384464937738,0.9829673767089844,0.7910652160644531,0.7770919799804688,-0.013973236083984375
1,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T10SFE.2021166.v1.4_merged.tif,0.4,262144,5542,5199,4938,261,604,256341,0.8509391693951405,0.949798038084247,0.891014074341393,0.9194674611302486,0.9967002868652344,0.02114105224609375,0.019832611083984375,-0.001308441162109375
2,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T10SFF.2020215.v1.4_merged.tif,0.4,262144,7010,7476,6573,903,437,254231,0.8306584102110451,0.8792134831460674,0.937660485021398,0.9074968935523954,0.9948883056640625,0.02674102783203125,0.0285186767578125,0.00177764892578125
3,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T10SFG.2020185.v1.4_merged.tif,0.4,260375,10107,11762,9833,1929,274,248339,0.8169657693585909,0.835997279374256,0.9728900761848224,0.8992637980703277,0.9915391262602017,0.03881709073451752,0.04517330772923668,0.006356216994719159
4,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T10SFG.2020215.v1.4_merged.tif,0.4,262132,26062,29781,23191,6590,2871,229480,0.7102474580423864,0.7787179745475303,0.8898396132299901,0.8305785863939975,0.9639074969862512,0.09942319136923382,0.11361069995269558,0.014187508583461766
5,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T10SGD.2018257.v1.4_merged.tif,0.4,262142,5073,6024,4804,1220,269,255849,0.7633878913078023,0.797476759628154,0.9469741770155726,0.8658195908804182,0.9943198724355502,0.01935210687337397,0.02297991165093728,0.0036278047775633072
6,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T10SGF.2020217.v1.4_merged.tif,0.4,262138,112644,114423,109998,4425,2646,145069,0.9395997232401404,0.9613277050942556,0.9765100671140939,0.9688594115393254,0.9730256582410791,0.4297125941298095,0.43649909589605473,0.006786501766245234
7,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T10SGG.2018187.v1.4_merged.tif,0.4,262144,20930,21928,19791,2137,1139,239077,0.8579789309403043,0.9025446917183509,0.9455805064500716,0.9235615287694247,0.9875030517578125,0.07984161376953125,0.083648681640625,0.00380706787109375
8,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T10SGG.2020247.v1.4_merged.tif,0.4,262144,14173,15012,13458,1554,715,246417,0.8557258218350607,0.8964828137490009,0.9495519650038806,0.9222545828336474,0.9913444519042969,0.054065704345703125,0.0572662353515625,0.003200531005859375
9,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T10TFL.2018215.v1.4_merged.tif,0.4,262144,83821,86856,82342,4514,1479,173809,0.9321559970566593,0.9480289214331767,0.9823552570358264,0.9648868916139842,0.9771385192871094,0.3197517395019531,0.331329345703125,0.011577606201171875
10,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T10TFM.2018110.v1.4_merged.tif,0.4,262132,10195,23496,1596,21900,8599,230037,0.049727371864776444,0.067926455566905,0.1565473271211378,0.09474340328277582,0.8836502220255443,0.03889261898585446,0.08963423008255383,0.05074161109669938
11,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T10TFM.2019215.v1.4_merged.tif,0.4,262144,63402,70966,62915,8051,487,190691,0.880508865967839,0.8865513062593354,0.9923188542948171,0.9364580852583948,0.9674301147460938,0.24185943603515625,0.27071380615234375,0.0288543701171875
