,precision,recall,f1-score,support
AnnualCrop,0.9690265486725663,0.9733333333333334,0.9711751662971175,450.0
Forest,0.9977678571428571,0.9933333333333333,0.9955456570155902,450.0
HerbaceousVegetation,0.9584245076586433,0.9733333333333334,0.9658213891951488,450.0
Highway,0.9893899204244032,0.9946666666666667,0.9920212765957447,375.0
Industrial,0.9867724867724867,0.9946666666666667,0.9907038512616202,375.0
Pasture,0.9661016949152542,0.95,0.957983193277311,300.0
PermanentCrop,0.9705093833780161,0.9653333333333334,0.9679144385026738,375.0
Residential,0.9977477477477478,0.9844444444444445,0.9910514541387024,450.0
River,0.9920424403183024,0.9973333333333333,0.9946808510638298,375.0
SeaLake,1.0,0.9977777777777778,0.9988876529477196,450.0
accuracy,0.9832098765432099,0.9832098765432099,0.9832098765432099,0.9832098765432099
macro avg,0.9827782587030278,0.9824222222222222,0.9825784930295457,4050.0
weighted avg,0.9832551463232952,0.9832098765432099,0.9832115329221159,4050.0
